date,total_distinct_persons,total_vaccinations,completed_both_doses,new_vaccinations,new_distinct_persons,new_both_doses,new_both_doses_7days
2020-12-28,386,386,0,386,386,0,NA
2020-12-29,1056,1056,0,670,670,0,NA
2020-12-30,1709,1709,0,653,653,0,NA
2020-12-31,2313,2313,0,604,604,0,NA
2021-01-01,2591,2591,0,278,278,0,NA
2021-01-02,3132,3132,0,541,541,0,NA
2021-01-03,3843,3843,0,711,711,0,NA
2021-01-04,9975,9975,0,6132,6132,0,0
2021-01-05,16233,16233,0,6258,6258,0,0
2021-01-06,20466,20466,0,4233,4233,0,0
2021-01-07,26006,26006,0,5540,5540,0,0
2021-01-08,34787,34787,0,8781,8781,0,0
2021-01-09,40163,40163,0,5376,5376,0,0
2021-01-10,44080,44080,0,3917,3917,0,0
2021-01-11,49645,49645,0,5565,5565,0,0
2021-01-12,56199,56199,0,6554,6554,0,0
2021-01-13,64619,64619,0,8420,8420,0,0
2021-01-14,70695,70695,0,6076,6076,0,0
2021-01-15,75276,75276,0,4581,4581,0,0
2021-01-16,79744,79744,0,4468,4468,0,0
2021-01-18,84803,85223,420,5479,5059,420,420
2021-01-19,92139,93179,1040,7956,7336,620,1040
2021-01-20,105700,107335,1635,14156,13561,595,1635
2021-01-21,121109,123347,2238,16012,15409,603,2238
2021-01-22,138312,140870,2558,17523,17203,320,2558
2021-01-23,154273,157388,3115,16518,15961,557,3115
2021-01-25,169456,177377,7921,19989,15183,4806,7921
2021-01-26,182778,195783,13005,18406,13322,5084,12585
2021-01-27,196009,213735,17726,17952,13231,4721,16686
2021-01-28,208461,232070,23609,18335,12452,5883,21974
